"uid","title","species"
"WOS:000362308300029","Effect of wheel traffic on the physical properties of a Luvisol","reference cone"
"WOS:000363188800009","Shift to continuous operation of an air-cathode microbial fuel cell long-running in fed-batch mode boosts power generation","plexiglass"
"WOS:000363346000019","Modeling the settling behavior in virgin olive oil from a horizontal screw solid bowl","olives"
"WOS:000364603700006","Mathematical programming models for lock scheduling with an emission objective","ship"
"WOS:000364624900002","EPISTEMIC FRANKFURT CASES REVISITED","kelp"
"WOS:000365111400003","Constructing Minimal Blocking Sets Using Field Reduction","cones"
"WOS:000365289300064","Lipophilicity of PCBs and fatty acids determines their mobilisation from blubber of weaned northern elephant seal pups","northern elephant seal"
"WOS:000365363900001","Powder attrition in gas fluidized beds","bubble"
"WOS:000365811200139","Fatty acid profiles of four filamentous green algae under varying culture conditions","green algae"
"WOS:000366061200017","Microbial community assessment of mealworm larvae (Tenebrio molitor) and grasshoppers (Locusta migratoria migratorioides) sold for human consumption","insects"
"WOS:000366061500008","Assessment throughout a whole fishing year of the dominant microbiota of peeled brown shrimp (Crangon crangon) stored for 7 days under modified atmosphere packaging at 4 degrees C without preservatives","shrimps"
"WOS:000366063000010","Higher forage yields under temperate drought explained by lower transpiration rates under increasing evaporative demand","temperate basses"
"WOS:000366441500013","Cloning and functional characterization of Delta 6 fatty acid desaturase (FADS2) in Eurasian perch (Perca fluviatilis)","salmon"
"WOS:000366635400008","Assessment of a new qPCR tool for the detection and identification of the root-knot nematode Meloidogyne enterolobii by an international test performance study","nematodes"
"WOS:000366648200006","Assessment of soil metal distribution and environmental impact of mining in Katanga (Democratic Republic of Congo)","smelts"
"WOS:000366765500027","Joint input-state estimation in structural dynamics","permit"
"WOS:000366767600014","Genetic diversity analysis of isolates belonging to the Photobacterium phosphoreum species group collected from salmon products using AFLP fingerprinting","salmon"
"WOS:000366768300026","Experimental evidence for selective settlement of meiofauna from two distinct environments after sediment suspension","sea rose"
"WOS:000366770100006","Focused electron beam induced deposition as a tool to create electron vortices","spiral"
"WOS:000366789500005","Fallen trees' last stand against bark beetles","beetles"
"WOS:000366837400002","25 Years of Self-organized Criticality: Concepts and Controversies","tangs"
"WOS:000366837400004","25 Years of Self-Organized Criticality: Solar and Astrophysics","sun stars"
"WOS:000366863100008","Far beyond primary poly(vinylamine)s through free radical copolymerization and amide hydrolysis","water bears"
"WOS:000366873100034","Oncology health workers' views and experiences on caring for ethnic minority patients: A mixed method systematic review","tangle"
"WOS:000366920600009","Plant vascular development: from early specification to differentiation","vascular plants"
"WOS:000366953000013","The demands of lactation promote differential regulation of lipid stores in fasting elephant seals","northern elephant seal"
"WOS:000366953000024","Boule gene expression underpins the meiotic arrest in spermatogenesis in male rainbow trout (Oncorhynchus mykiss) exposed to DEHP and butachlor","trout"
"WOS:000366953400001","Communal farmers' perceptions of tick-borne diseases affecting cattle and investigation of tick control methods practiced in Zimbabwe","water bears"
"WOS:000366979500008","Whose Permits? The Tenacity of Permissive Development Control in Flanders","permit"
"WOS:000366982400001","Mark's Paratactic x alpha iota as a Secondary Syntactic Semitism","arks"
"WOS:000366985900082","Thermal inactivation kinetics of proteases and polyphenoloxidase in brown shrimp (Crangon crangon)","white shrimp"
"WOS:000366996100006","Assessment of pospiviroid transmission by myzus persicae, macrolophus pygmaeus and bombus terrestris","insects"
"WOS:000367085100001","Artisanal and controlled pyrolysis-based biochars differ in biochemical composition, thermal recalcitrance, and biodegradability in soil","drum"
"WOS:000367117000024","Let's talk about society: A Critical Discourse Analysis of sociology courses in pre-registration nursing","nurse"
"WOS:000367213200037","Implicit and explicit measures of spider fear and avoidance behavior: Examination of the moderating role of working memory capacity","spiders"
"WOS:000367238600002","Mast cells and IgE in defense against venoms: Possible ""good side"" of allergy?","reptiles"
"WOS:000367259200019","Spontaneous Tl(I)-to-Tl(III) oxidation in dynamic heterobimetallic Hg(II)/Tl(I) porphyrin complexes","mono"
"WOS:000367276500030","Inhibition of alkaline flocculation by algal organic matter for Chlorella vulgaris","green algae"
"WOS:000367324100007","Abundance, diversity and community composition of free-living protozoa on vegetable sprouts","protozoans"
"WOS:000367413100009","Evidence for the effect of the cooling down step on activated carbon adsorption properties","olives"
"WOS:000367431000002","Molecular evolution of candidate male reproductive genes in the brown algal model Ectocarpus","sea-urchins"
"WOS:000367473500012","Prisms for pain. Can visuo-motor rehabilitation strategies alleviate chronic pain?","goggles"
"WOS:000367596000020","Derivation of ecological standards for risk assessment of molybdate in soil","springtails"
"WOS:000367601800006","Aging-related tau astrogliopathy (ARTAG): harmonized evaluation strategy","tangle"
"WOS:000367613600006","Probability distributions for multimeric systems","mono"
"WOS:000367630800037","On Hilbert bases of cuts","cones"
"WOS:000367638800003","Do you have the nerves to regenerate? The importance of neural signalling in the regeneration process","vertebrates"
"WOS:000367673500006","Improvement of hydrogen production via ethanol-type fermentation in an anaerobic down-flow structured bed reactor","soles"
"WOS:000367679400014","Appraisal of cooperation with a palliative care case manager by general practitioners and community nurses: a cross-sectional questionnaire study","nurse"
"WOS:000367681800009","Proximate determinants of bite force in Anolis lizards","vertebrates"
"WOS:000367694100016","Evidence of self-organization in a gregarious land-dwelling crustacean (Isopoda: Oniscidea)","woodlice"
"WOS:000367695700012","Development of primary cell cultures using hemocytes and phagocytic tissue cells of Locusta migratoria: an application for locust immunity studies","insects"
"WOS:000367700000022","Could a T90 mesh codend improve selectivity in the Belgian beam trawl fishery?","whiting pout"
"WOS:000367724900030","Swimbladder hyperinflation in burbot Lota lota L. larvae","sea bass"
"WOS:000367730200001","Large predatory marine reptiles from the Albian-Cenomanian of Annopol, Poland","reptiles"
"WOS:000367730200006","Chitinozoan biostratigraphy of the Silurian Wenlock-Ludlow boundary succession of the Long Mountain, Powys, Wales","graptolites"
"WOS:000367730200008","Stratigraphy and depositional environments of the Late Famennian (Late Devonian) of Southern Belgium and characterization of the Strud locality","rock (fish)"
"WOS:000367755600042","Chromium speciation methods and infrared spectroscopy for studying the chemical reactivity of lead chromate-based pigments in oil medium","painted ray"
"WOS:000367755600074","Chemical imaging of stained-glass windows by means of macro X-ray fluorescence (MA-XRF) scanning","red crust"
"WOS:000367755600096","Macro X-ray fluorescence (MA-XRF) scanning of illuminated manuscript fragments: potentialities and challenges","painted ray"
"WOS:000367757000034","Dynamic characteristics of compliant journal bearings considering thermal effects","bears"
"WOS:000367767700017","Dynamic modelling of radionuclide uptake by marine biota: application to the Fukushima nuclear power plant accident","molluscs"
"WOS:000367774400045","Development of a 4-NQO toxic equivalency factor (TEF) approach to enable a preliminary risk assessment of unknown genotoxic compounds detected by the Ames II test in UV/H2O2 water treatment samples","tangs"
"WOS:000367810600025","Honey Bee Allatostatins Target Galanin/Somatostatin-Like Receptors and Modulate Learning: A Conserved Function?","beetles"
"WOS:000367816300016","Epigenomics and bolting tolerance in sugar beet genotypes","beet"
"WOS:000367827900001","Virtual Issue celebrating the 100th volume of the Journal of Animal Physiology and Animal Nutrition","animals"
"WOS:000367866300041","Silver Accumulation in the Green Microalga Coccomyxa actinabiotis: Toxicity, in Situ Speciation, and Localization Investigated Using Synchrotron XAS, XRD, and TEM","green algae"
"WOS:000367887200014","Genomic profiling of myeloma: the best approach, a comparison of cytogenetics, FISH and array-CGH of 112 myeloma cases","fish"
"WOS:000367914100002","How Reliable Are Field-Derived Biomagnification Factors and Trophic Magnification Factors as Indicators of Bioaccumulation Potential? Conclusions from a Case Study on Per- and Polyfluoroalkyl Substances","sea trout"
"WOS:000367914100007","Population-Level Effects and Recovery of Aquatic Invertebrates after Multiple Applications of an Insecticide","arthropods"
"WOS:000367914100016","Estimating Emissions from Adhesives and Sealants Uses and Manufacturing for Environmental Risk Assessments","water bears"
"WOS:000367928100006","Bipedality From Locomotor Autonomy to Adulthood in Captive Olive Baboon (Papio anubis): Cross-Sectional Follow-Up and First Insight Into the Impact of Body Mass Distribution","olives"
"WOS:000367956600004","Characterization and taxonomic reassessment of the box blight pathogen Calonectria pseudonaviculata, introducing Calonectria henricotiae sp nov.","temperate basses"
"WOS:000367964300012","The compositional evolution of C/2012 S1 (ISON) from ground-based high-resolution infrared spectroscopy as part of a worldwide observing campaign","comet"
"WOS:000368008200087","Ultraviolet emission lines of Si II in cool star and solar spectra","sun stars"
"WOS:000368010000029","The MiMeS survey of magnetism in massive stars: introduction and overview","narval"
"WOS:000368014500010","Differences in foot sensitivity and plantar pressure between young adults and elderly","sole"
"WOS:000368024800031","Hepatitis delta virus facilitates the selection of hepatitis B virus mutants in vivo and functionally impacts on their replicative capacity in vitro","mono"
"WOS:000368041200005","Advanced Charged Sponge-Like Membrane with Ultrahigh Stability and Selectivity for Vanadium Flow Batteries","sponges"
"WOS:000368047800020","Poly(alanine): Structure and Stability of the D and L-Enantiomers","spiders"
"WOS:000368072200008","Resurrecting complexity: the interplay of plasticity and rapid evolution in the multiple trait response to strong changes in predation pressure in the water flea Daphnia magna","water fleas"
"WOS:000368074600015","Evaluating an unmanned aerial vehicle-based approach for assessing habitat extent and condition in fine-scale early successional mountain mosaics","serra"
"WOS:000368094600014","Reduction of scatter-induced image noise in cone beam computed tomography: effect of field of view size and position","cones"
"WOS:000368112200001","Role of AMP-activated protein kinase in metabolic depression in animals","franciscana"
"WOS:000368173100013","Reverse genetic screen for loss-of-function mutations uncovers a frameshifting deletion in the melanophilin gene accountable for a distinctive coat color in Belgian Blue cattle","blue dog"
"WOS:000368192300005","Experimental manipulation of food availability leads to short-term intra-clutch adjustment in egg mass but not in yolk androgen or thyroid hormones","zebra"
"WOS:000368197200018","Analysing the effectiveness of vendor-managed inventory in a single-warehouse, multiple-retailer system","ship"
"WOS:000368198300006","An Investigation of Short-Term Longitudinal Associations Between Social Anxiety and Victimization and Perpetration of Traditional Bullying and Cyberbullying","lag"
