"uid","title","species"
"WOS:000070977100004","Patterns of microhabitat use among fourteen abundant fishes of the lower Ntem River Basin (Cameroon)","Brycinus longipinnis"
"WOS:000070979300011","Aquatic nematodes from Ethiopia IX - One new and three known species of Dorylaimidae, Mononchus truncatus Bastian, 1865, and Diploscapter coronatus (Cobb, 1893) Cobb, 1913 (Nematoda)","Dorylaimus stagnalis"
"WOS:000071016900013","Analysis of the ECETOC aquatic toxicity (EAT) database - V - The relevance of Daphnia magna as a representative test species","Daphnia magna"
"WOS:000071073000001","Influence of feeding level on growth, intraspecific weight variability and sexual growth dimorphism of Eurasian perch Perca fluviatilis L. reared in a recirculation system","Perca fluviatilis"
"WOS:000071120200010","Overview of a workshop on screening methods for detecting potential (anti-) estrogenic/androgenic chemicals in wildlife","Oryzias latipes"
"WOS:000071120200015","Wildlife and endocrine disruptors: Requirements for hazard identification","Oncorhynchus tshawytscha"
"WOS:000071138400033","Transperineal radiofrequency interstitial tumor ablation of the prostate: Correlation of magnetic resonance imaging with histopathologic examination","Rita rita"
"WOS:000071159400009","Effects of sublethal copper exposure on copper accumulation, food consumption, growth, energy stores, and nucleic acid content in common carp","Salmo salmo"
"WOS:000071169900009","Zooplankton development in two large lowland rivers, the Moselle (France) and the Meuse (Belgium), in 1993","Bosmina (Bosmina) longirostris"
"WOS:000071269300009","Nursery function of an estuarine tidal marsh for the brown shrimp Crangon crangon","Pomatoschistus microps"
"WOS:000071269300010","Cage experiments in an East African mangrove forest: a synthesis","Fundulus heteroclitus"
"WOS:000071296900006","Semiquantitative immunoblot detection of 70 kDa stress proteins in the carp Cyprinus carpio","Cyprinus carpio"
"WOS:000071343500003","Identification and phylogenetic relationships of microsporidia by riboprinting","Glugea atherinae"
"WOS:000071446100003","The estimation of food consumption in larval and juvenile fish: experimental evaluation of bioenergetics models","Rutilus rutilus"
"WOS:000071601800007","Structure and development of first-generation teeth in the cichlid Hemichromis bimaculatus (Teleostei, Cichlidae)","Hemichromis bimaculatus"
"WOS:000071737800012","Postmortem investigations on winter stranded sperm whales from the coasts of Belgium and the Netherlands","Delphinapterus leucas"
"WOS:000071980600001","Effect of a dietary phospholipid supplementation on growth and fatty acid composition of European sea bass (Dicentrarchus labrax L) and turbot (Scophthalmus maximus L) juveniles from weaning onwards","Labrax labrax"
"WOS:000072126700016","Percutaneous transperineal radiofrequency ablation of prostate tumour: safety, feasibility and pathological effects on human prostate cancer","Rita rita"
"WOS:000072355900003","A novel method to determine uptake and elimination kinetics of volatile chemicals in fish","Poecilia reticulata"
"WOS:000072459600068","Evolution of patterns and processes in teeth and tooth-related tissues in nonmammalian vertebrates","Hemichromis bimaculatus"
"WOS:000072711500007","Fish communities along an oxygen-poor salinity gradient (Zeeschelde Estuary, Belgium)","Pomatoschistus microps"
"WOS:000072848000001","Digestibility and transit time of Azolla filiculoides Lamarck in Oreochromis aureus (Steindachner)","Tilapia zillii"
"WOS:000072955100002","Comparison of epilithic diatom populations from acid streams in a forest catchment treated with dolomite (Ardenne, Belgium)","Eunotia rhomboidea"
"WOS:000072955100005","Temporal variation and spatial heterogeneity of zooplankton food availability in backwaters and the main channel of the River Meuse (Belgium)","Rutilus rutilus"
"WOS:000072977100003","Identification and heterologous expression of a new dense granule protein (GRA7) from Toxoplasma gondii","Toxoplasma gondii"
"WOS:000073086900001","Branchial cobalt uptake in the carp, Cyprinus carpio: Effect of calcium channel blockers and calcium injection","Oreochromis mossambicus"
"WOS:000073086900002","Effect of cadmium on the cytoskeleton and morphology of gill chloride cells in parr and smolt Atlantic salmon (Salmo salar)","Salmo salar"
"WOS:000073282300012","Isoform distribution of parvalbumins and of some myofibrillar proteins in adult and developing Chrysichthys auratus (Geoffroy St. Hilaire, 1808) (Pisces, Claroteidae)","Chrysichthys auratus"
"WOS:000073383700006","On-line determination of the velocity of simultaneously moving organisms by image analysis for the detection of sublethal toxicity","Daphnia pulex"
"WOS:000073482200011","Phenotypic plasticity of Daphnia life history traits in response to predator kairomones: genetic variability and evolutionary potential","Daphnia pulex"
"WOS:000073482200020","The change in phototactic behaviour of a Daphnia magna clone in the presence of fish kairomones: the effect of exposure time","Daphnia pulex"
"WOS:000073482400008","Effect of diet and beta-naphthoflavone on hepatic and renal glutathione S-transferase isoenzymes in carp (Cyprinus carpio)","Salmo gairdneri"
"WOS:000073742000023","Recoverin and hippocalcin distribution in the lamprey (Lampreta fluviatilis) retina","Lampetra fluviatilis"
"WOS:000073780300001","Regulation of rotifer species by invertebrate predators in a hypertrophic lake: Selective predation on egg-bearing females and induction of morphological defences","Daphnia pulex"
"WOS:000073781100085","Acute and chronic phases of Toxoplasma gondii infection in mice modulate the host immune responses","Toxoplasma gondii"
"WOS:000073970400004","Comparative study of iodothyronine outer ring and inner ring deiodinase activities in five teleostean fishes","Salmo mykiss"
"WOS:000074021900029","Bioavailability of radiocobalt to the common carp, Cyprinus carpio, in complexing environments","Cyprinus carpio"
"WOS:000074021900031","Calcium influences radio-cobalt uptake by the common carp, Cyprinus carpio","Cyprinus carpio"
"WOS:000074346400013","Preliminary results on morphometric differentiation between natural populations of the Nile tilapia Oreochromis niloticus (Perciformes, Cichlidae)","Oreochromis niloticus"
"WOS:000074346400014","Morphometric and allozyme variation in natural populations and cultured strains of the Nile tilapia Oreochromis niloticus niloticus (Teleostei, Cichlidae)","Oreochromis niloticus"
"WOS:000074380800002","Effect of the nitrogen status on copper accumulation and pools of metal-binding peptides in the planktonic diatom Thalassiosira pseudonana","Thalassiosira pseudonana"
"WOS:000074444700011","Control of peripheral thyroid hormone levels by activating and inactivating deiodinases","Oncorhynchus mykiss"
"WOS:000074447800007","Effect of ambient water temperature on sex determinism in the blue tilapia Oreochromis aureus","Oreochromis aureus"
"WOS:000074447900009","Enrichment of live food with essential fatty acids and vitamin C: effects on milkfish (Chanos chanos) larval performance","Mugil chanos"
"WOS:000074451100019","Histological changes induced by dietary phospholipids in intestine and liver of common carp (Cyprinus carpio L.) larvae","Cyprinus carpio"
"WOS:000074451100020","Comparison of different soybean phospholipidic fractions as dietary supplements for common carp, Cyprinus carpio, larvae","Cyprinus carpio"
"WOS:000074486000010","Ovocyte growth and steroid regulation in single and multiple spawner fish: a review","Salmo salmo"
"WOS:000074488100004","Characterization of four Flavobacterium columnare (Flexibacter columnaris) strains isolated from tropical fish","Poecilia sphenops"
"WOS:000074506700012","Incorporation of high levels of extruded lupin in diets for rainbow trout (Oncorhynchus mykiss): nutritional value and effect on thyroid status","Salvelinus alpinus"
"WOS:000074684400003","Morphometric and allozyme variation in natural populations and cultured strains of the Nile tilapia Oreochromis niloticus (Teleostei, Cichlidae)","Oreochromis niloticus"
"WOS:000074684400004","Notes on the taxonomy and distribution of the interstitial Rotifera from a dune pool","Encentrum villosum"
"WOS:000074780700018","Morphometric and allozyme variation in the African catfishes Clarias gariepinus and C-anguillaris","Trutta trutta"
"WOS:000074847800005","Apomorphine-induced growth hormone release in African catfish (Clarias gariepinus) is related to the animal's nutritional status","Oreochromis niloticus"
"WOS:000074999200006","Predator-mediated plasticity in morphology, life history, and behavior of Daphnia: The uncoupling of responses","Daphnia pulex"
"WOS:000075067600003","Influence of sexual genotype on reproductive traits of females (genotype WZ) and pseudofemales (genotype ZZ) in the tilapia Oreochromis aureus.","Oreochromis niloticus"
"WOS:000075206000040","Trematode hemoglobins show exceptionally high oxygen affinity","Wallago attu"
"WOS:000075408300012","The minimum effective spermatozoa : egg ratio for artificial insemination and the effects of mercury on sperm motility and fertilization ability in Clarias gariepinus","Salmo gairdneri"
"WOS:000075437300022","Recovery of the energy metabolism after a hypoxic challenge at different temperature conditions: a P-31-nuclear magnetic resonance spectroscopy study with common carp","Salmo gairdneri"
"WOS:000075583600007","Absence of albumin in the plasma of the common carp Cyprinus carpio: binding of fatty acids to high density lipoprotein","Trutta trutta"
"WOS:000075758700004","Pressure effects on membrane-based functions and energy metabolism: a review","Anguilla anguilla"
"WOS:000075772200103","Quantification of the trophic pathway in the PCB contamination of two zooplanktonic species: Daphnia magna STRAUS and Brachionus calyciflorus PALLAS","Daphnia magna"
"WOS:000075891900004","Biomass production and NPK retention in macrophytes from wetlands of the Tingitan Peninsula","Phragmites australis"
"WOS:000076095100039","Murine dendritic cells Pulsed in vitro with Toxoplasma gondii antigens induce protective immunity in vivo","Toxoplasma gondii"
"WOS:000076241000014","Chemical speciation dynamics and toxicity assessment in aquatic systems","Trutta trutta"
"WOS:000076263500012","Initial results on the trophic relationships based on Corophium curvispinum in the Rhine traced by stable isotopes","Perca fluviatilis"
"WOS:000076277500001","Cephalodella segersi n.sp. (Notommatidae, Monogononta), a new rotifer from Belgium, with notes on C-catellina (O.F. Muller, 1786), C-fluviatilis (Zavadovsky, 1926) and C-maior Zavadovsky, 1926 stat. nov.","Cephalodella catellina"
"WOS:000076277500012","The use of biomarkers in Daphnia magna toxicity testing - I. The digestive physiology of daphnids exposed to toxic stress","Daphnia magna"
"WOS:000076332000004","Changes in plasma T-3 during fasting/refeeding in tilapia (Oreochromis niloticus) are mainly regulated through changes in hepatic type II iodothyronine deiodinase","Salmo mykiss"
"WOS:000076391200006","Toxicity of ozone to fish larvae and Daphnia magna","Leuciscus leuciscus"
"WOS:000076408300047","Soil activity and persistence of rimsulfuron to maize and selected grasses","Festuca rubra"
"WOS:000076408600167","Fc receptor activity of Toxoplasma gondii tachyzoites: immunoglobulin binding by T-gondii strains with different isoenzyme patterns, and by SAG-1 and SAG-2 deficient mutants","Toxoplasma gondii"
"WOS:000076445100014","Evaluation of surgery procedures for tagging eel Anguilla anguilla (L.) with biotelemetry transmitters","Anguilla anguilla"
"WOS:000076445100023","Seasonal variations in time and space utilization by radio-tagged yellow eels Anguilla anguilla (L.) in a small stream","Anguilla rostrata"
"WOS:000076445100031","Environmental unpredictability rules the autumn migration of brown trout (Salmo trutta L.) in the Belgian Ardennes","Trutta trutta"
"WOS:000076467500019","Observations on two taxa of the section Nitzschiae Lanceolatae (Bacillariophyceae): Nitzschia blankaartensis sp. nov. and N-bulnheimiana","Nitzschia frustulum"
"WOS:000076470700006","Gyrodactylus longidactylus n. sp., a monogenean from Pomatoschistus lozanoi (de Buen) (Gobiidae) from the North Sea","Salmo salmo"
"WOS:000076541500009","Pathological investigations on guillemots (Uria aalge) stranded on the Belgian coast during the winter of 1993-94","Anas platyrhynchos"
"WOS:000076618700050","PCBS in cod (Gadus morhua), flounder (Platichthys flesus), blue mussel (Mytilus edulis) and brown shrimp (Crangon crangon) from the Belgian continental shelf: Relation to biological parameters and trend analysis.","Platichthys flesus"
"WOS:000076828700010","The use of biomarkers in Daphnia magna toxicity testing. III. Rapid toxicity testing of pure chemicals and sediment pore waters using ingestion and digestive enzyme activity.","Daphnia magna"
"WOS:000076933800005","Polyculture of silver barb, Puntius gonionotus (Bleeker), Nile tilapia, Oreochromis niloticus (L.), and common carp, Cyprinus carpio L., in Vietnamese ricefields: feeding ecology and impact on rice and ricefield environment","Oreochromis niloticus"
"WOS:000076933800006","Polyculture of silver barb, Puntius gonionotus (Bleeker), Nile tilapia, Oreochromis niloticus (L.), and common carp, Cyprinus carpio L., in Vietnamese ricefields: fish production parameters","Oreochromis niloticus"
"WOS:000077253300003","Ecotoxicology of metals in aquatic sediments: binding and release, bioavailability, risk assessment, and remediation","Limnodrilus hoffmeisteri"
"WOS:000077530300013","Phototactic behavior of Daphnia as a tool in the continuous monitoring of water quality: Experiments with a positively phototactic Daphnia magna clone","Daphnia magna"
"WOS:000077604300006","The conformation of purified Toxoplasma gondii SAG1 antigen, secreted from engineered Pichia pastoris, is adequate for serorecognition and cell proliferation","Toxoplasma gondii"
"WOS:000077658000001","Asexual reproduction in nonmarine ostracods","Daphnia pulex"
"WOS:000077709200012","Patterns of macroparasite aggregation in wildlife host populations","Salvelinus alpinus"
"WOS:000077724300004","Innervation and control of the adenohypophysis by hypothalamic peptidergic neurons in teleost fishes: EM immunohistochemical evidence","Poecilia latipinna"
"WOS:000077849400001","Controlling persistent organic pollutants - what next?","Phoca vitulina"
"WOS:000077889900006","Gonadal and thyroid hormones in the barbel (Barbus barbus) during and outside short reproductive cycles","Salmo gairdneri"
"WOS:000078020700007","Sibling cannibalism among juvenile vundu under controlled conditions. I. Cannibalistic behaviour, prey selection and prey size selectivity","Salvelinus alpinus"
"WOS:000078254700025","Improved bioavailability of orally delivered peptides and polypeptides in teleost fish","Salmo gairdneri"
